PlaceID,ParkName_Google,AvgRating_AllReviews,TotalReviews_All
ChIJQWLyspZ2hlQRcqZoordgcDc,Collingwood Park,4.4,114
ChIJQR19tJ1zhlQRHjXiVUw7YjQ,Quilchena Park,4.5,394
ChIJQwI_Q4RxhlQRJ-IPbxaY9Os,Harbour Green Park,4.7,2484
ChIJQcEWtE1yhlQRq5EvZuP3fYM,Margaret Pigott Park,4.7,282
ChIJSbuugZVzhlQRTdS00C0zXyY,Shaughnessy Park,4.4,253
ChIJSyp71WtxhlQReZtp3mzmPnY,Strathcona Park,4.0,840
ChIJU85SfvNyhlQROqo2GnhKkPY,Locarno Beach,4.7,250
ChIJTU9RhTJ0hlQReT_ozcd7LFU,Bobolink Park,4.4,361
ChIJVVQ1MipxhlQRJzWpvSkLUvs,Rupert Park,4.5,307
ChIJX_EtwUd0hlQRSqoCuc14Pjs,Ross Park,4.2,317
ChIJY-gCRX52hlQRZGZEgqY7bQU,Captain Cook Park,4.3,63
ChIJYTzEQeZwhlQRvYumbduROOs,New Brighton Park,4.5,1088
ChIJZ13eaDdxhlQR4XCkXOKSOAU,Garden Park,4.3,206
ChIJZyqg6a52hlQRP-UiMhm_Sdw,Brewers Park,4.5,132
ChIJ_V-LvhZ0hlQRPyVZcd83YiY,Memorial South Park,4.5,1572
ChIJXfWhew1zhlQRxF2EcUJj18U,Balaclava Park,4.4,257
ChIJ__wzVS9yhlQRXRtamFaDvyY,Morton Park,4.6,107
ChIJV40wYpJ2hlQRcNMAsizCLwY,Aberdeen Park,4.3,143
ChIJaVvpl891hlQRMxprW0l3Vgc,Riverfront Park,4.4,767
ChIJafAXZYhzhlQRZ1X6Zx94FeU,Oak Meadows Park,4.2,190
ChIJ____Ezt0hlQRbH4nQIeSKys,Gordon Park,4.3,428
ChIJU_7O9QdzhlQRT1nFVPrl2yE,Carnarvon Park,4.4,279
ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw,Grays Park,4.3,372
