ParkID,ParkName,PlaceID,NeighbourhoodName,Classification,AvgSentiment,AvgRating,PartialStreetClosure,Washrooms,Fenced,WaterAccess,Seating,RedBinProgram,DrinkingFountainPeople,DrinkingFountainDogs,Caretaker,Playgrounds,Softball,BaseballDiamonds,FootballFields,SoccerFields,FieldHouses,JoggingTrails,DiscGolfCourses,SkateboardParks,DogsOffLeashAreas,UltimateFields,CricketPitches,LightedFields,TennisCourts,BasketballCourts,FieldHockey,CommunityHalls,WaterSprayParks,Restaurants,CommunityCentres,WadingPool,RugbyFields,RunningTracks,BowlingGreens,BallHockey,SwimmingPools,PicnicSites,FoodConcessions,GolfCourses,PickleBall,Rinks,Beaches,OutdoorRollerHockeyRinks,LacrosseBoxes
1.0,Arbutus Village Park,ChIJNa3NzqFzhlQRKYEj2VkGFK0,Arbutus-Ridge,Local,0.565988561,4.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,Carnarvon Park,ChIJU_7O9QdzhlQRT1nFVPrl2yE,Arbutus-Ridge,Community,0.34412382,4.6,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,Prince Of Wales Park,ChIJy5zamnVzhlQROs6bOMWf3m4,Arbutus-Ridge,Neighbourhood,0.512294718,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,Park Site On Puget Drive,ChIJp6VqdwtzhlQRk-LYOrZdl9o,Arbutus-Ridge,Local,0.600741615,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,Park Site On Quesnel Drive,ChIJBaLyfgxzhlQRlScTuiTtlIo,Arbutus-Ridge,Local,0.480952941,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,Quilchena Park,ChIJQR19tJ1zhlQRHjXiVUw7YjQ,Arbutus-Ridge,Community,0.462212928,4.4,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.0,Ravine Park,ChIJ8YDE_HZzhlQRHs20Hhi1pyk,Arbutus-Ridge,Local,0.586833106,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,Trafalgar Park,ChIJFZtqm6BzhlQRViBt0mI2ZIU,Arbutus-Ridge,Neighbourhood,0.514782962,4.6,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,Park Site On Trafalgar Street,ChIJ8fOBnnRzhlQR1SHDplFAH3g,Arbutus-Ridge,Local,0.45774464,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,Andy Livingstone Park,ChIJFRGrHHtxhlQRAZVZlqaROSw,Downtown,Community,0.558100266,4.4,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
