source,park_name,area_ha,park_id,place_id_old,place_id_proposed,match_flag,notes
Vancouver,Arbutus Village Park,,,ChIJNa3NzqFzhlQRKYEj2VkGFK0,,exact,
Vancouver,Carnarvon Park,,,ChIJU_7O9QdzhlQRT1nFVPrl2yE,,exact,
Vancouver,Prince Of Wales Park,,,ChIJy5zamnVzhlQROs6bOMWf3m4,,exact,
Vancouver,Park Site On Puget Drive,,,ChIJp6VqdwtzhlQRk-LYOrZdl9o,,exact,
Vancouver,Park Site On Quesnel Drive,,,ChIJBaLyfgxzhlQRlScTuiTtlIo,ChIJUZQpdwBzhlQR3vVpuXxVtPM,fuzzy,"Labelled ""Quesnel Triangle Park Site"""
Vancouver,Quilchena Park,,,ChIJQR19tJ1zhlQRHjXiVUw7YjQ,,exact,
Vancouver,Ravine Park,,,ChIJ8YDE_HZzhlQRHs20Hhi1pyk,,exact,
Vancouver,Trafalgar Park,,,ChIJFZtqm6BzhlQRViBt0mI2ZIU,,exact,
Vancouver,Park Site On Trafalgar Street,,,ChIJ8fOBnnRzhlQR1SHDplFAH3g,,exact,
Vancouver,Andy Livingstone Park,,,ChIJFRGrHHtxhlQRAZVZlqaROSw,,exact,
Vancouver,Cardero Park,,,ChIJu1Lnq6lxhlQR6pcX6rbjjts,,fuzzy,
Vancouver,Coal Harbour Park,,,ChIJta9pnIZxhlQRjOVLcnemBFE,,exact,
Vancouver,Coopers' Park,,,ChIJMVTzBthzhlQRW6T6LQaOxoU,,exact,
Vancouver,Creekside Park,,,ChIJdT38dmRxhlQRq93GlaDNzn4,,exact,
Vancouver,David Lam Park,,,ChIJxe0X69BzhlQRN8arE-4IpMY,,exact,
Vancouver,Devonian Harbour Park,,,ChIJicVMCYlxhlQRLly-YmGOfu4,,exact,
Vancouver,Emery Barnes Park,,,ChIJHTh_ntZzhlQRfufbHHTUOrY,,exact,
Vancouver,Harbour Green Park,,,ChIJQwI_Q4RxhlQRJ-IPbxaY9Os,,exact,
Vancouver,Marina Square Park,,,ChIJO-T6lIhxhlQRCWwZrAhZ7vA,,fuzzy,
Vancouver,May & Lorne Brown Park,,,ChIJy45ZONJzhlQR8LQwVz87pzA,,exact,
Vancouver,CRAB Park at Portside,,,ChIJj3G_rkdxhlQRwXb7n3u0aG8,,exact,
Vancouver,Sun Yat-sen Gardens Park,,,ChIJr31-jxtxhlQREFvHCIcvI48,,fuzzy,
Vancouver,Wendy Poole Park,,,ChIJz1nZtHZxhlQR3tXNXM6ZCuY,ChIJ7T8MSnFxhlQRj4c7Ea6tjb8,exact,Different ID
Vancouver,Balaclava Park,,,ChIJXfWhew1zhlQRxF2EcUJj18U,,exact,
Vancouver,Park Site on Blenheim,,,ChIJxaN7ewZzhlQRx8EAfFpKGg0,,exact,
Vancouver,Chaldecott Park,,,ChIJ0f6r_RlzhlQRG3hs6hOQHDc,,exact,
Vancouver,Deering Island Park,,,ChIJ2YWjyVdzhlQRbrb5QTvwKQs,,exact,
Vancouver,Memorial West Park,,,ChIJy6XHNhRzhlQRgMzwOxCqpZ0,,exact,
Vancouver,Musqueam Park,,,ChIJF0eHNERzhlQRvbsIL32Zi6I,,exact,
Vancouver,Quadra West Park,,,ChIJeZSkvAZzhlQRQdKZJ08SxVU,,exact,
Vancouver,Valdez Park,,,ChIJ1XTxNQ9zhlQRC65vCiN3u-E,,exact,
Vancouver,Charleson Park,,,ChIJpcthL9tzhlQRctQyvr0X2MI,,exact,
Vancouver,Granville Park,,,ChIJcbmkHLxzhlQRkMlWXjPgShU,,exact,
Vancouver,Granville Loop Park,,,ChIJ47iOlshzhlQRTY5NyGaKwuU,,exact,
Vancouver,Sutcliffe Park,,,ChIJi8uFFc9zhlQRsj44EqhKgzA,,exact,
Vancouver,Willow Park,,,ChIJI6DcWsNzhlQRkRpRrXP9q0w,,exact,
Vancouver,Alice Townley Park,,,ChIJM4NmxEZxhlQRAM7rBUX3uN4,,exact,
Vancouver,Cambridge Park,,,ChIJx7px5sJxhlQR3z59zzUHUrI,,exact,
Vancouver,Garden Park,,,ChIJZ13eaDdxhlQR4XCkXOKSOAU,,exact,
Vancouver,Grandview Park,,,ChIJlRlWCz9xhlQREiA2lK11iBA,,exact,
Vancouver,McGill Park,,,ChIJuRwPsR1xhlQRlVZ7Wa4LGok,,exact,
Vancouver,McSpadden Park,,,ChIJ2cKodkhxhlQRF9dd0FsDc14,,exact,
Vancouver,Mosaic Creek Park,,,ChIJAStCZUBxhlQRNnG7eEcbtxw,,exact,
Vancouver,Oxford Park,,,ChIJTRl33BtxhlQRM2vJsGWhUj8,,exact,
Vancouver,Pandora Park,,,ChIJEWq_7hhxhlQR_k-jUi4iX1I,,exact,
Vancouver,Salsbury Park,,,ChIJhQHU_z1xhlQRMzIBq7vJ02A,,exact,
Vancouver,Templeton Park,,,ChIJKcr50CJxhlQRAfbaI6BCHD4,,exact,
Vancouver,Park Site On Trinity Street,,,ChIJe9a54hxxhlQRdnmu96eNPx4,,fuzzy,
Vancouver,Victoria Park,,,ChIJFZRR0DhxhlQRx0NrqkpG4x4,,exact,
Vancouver,W.C. Shelly Park,,,ChIJN7q5Ek9xhlQRnuYOz9pJpoM,,exact,
Vancouver,Woodland Park,,,ChIJjyFfrRVxhlQRAM9mIepSnEo,,exact,
Vancouver,Adanac Park,,,ChIJc-9iJdFwhlQRLBxxhG8Aos0,,exact,
Vancouver,Bates Park,,,ChIJn6ZWa8JwhlQR9bGRxUHxkfE,,exact,
Vancouver,Burrard View Park,,,ChIJJdYerONwhlQRjHzqGcMZNHo,,exact,
Vancouver,Callister Park,,,ChIJJZf3XeBwhlQR85cMSoejEXw,,exact,
Vancouver,Charles Park,,,ChIJyRYm0NVwhlQRhx_safq7qa8,,exact,
Vancouver,Clinton Park,,,ChIJu9PyFjBxhlQRcu77PZFWKM0,,exact,
Vancouver,Dusty Greenwell Park,,,ChIJh6pVh-NwhlQR5Q9CISVPPm8,,exact,
Vancouver,Hastings Community Park,,,ChIJ7a4QtdhwhlQRJG5RiFTWPe4,,exact,
Vancouver,Kaslo Park,,,ChIJfecbAzNxhlQRuPoXxBEQCio,,exact,
Vancouver,New Brighton Park,,,ChIJYTzEQeZwhlQRvYumbduROOs,,exact,
Vancouver,Rupert Park,,,ChIJVVQ1MipxhlQRJzWpvSkLUvs,,exact,
Vancouver,Sunrise Park,,,ChIJM2LXoixxhlQR6cOFWdWtq4w,,exact,
Vancouver,Thunderbird Park,,,ChIJdY0tlipxhlQRGfacJ8at8O4,,exact,
Vancouver,Brewers Park,,,ChIJZyqg6a52hlQRP-UiMhm_Sdw,,exact,
Vancouver,Cedar Cottage Park,,,ChIJtRQtKlBxhlQRaIjzYLWTH8c,,exact,
Vancouver,Clark Park,,,ChIJJ_kBcVJxhlQRiqlikNPSCLY,,exact,
Vancouver,General Brock Park,,,ChIJM0glEqV2hlQRKWLMXS0IhBQ,,exact,
Vancouver,Glen Park,,,ChIJryDxBQB0hlQRbtirTQEAV5Y,,exact,
Vancouver,Grays Park,,,ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw,,exact,
