DAUID,DGUID,LANDAREA,PRUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10,reach_cat,qty_cat,supply_type,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks,experience_hi,divergence_type,supply_binary,divergence_2x2,medhhinc,pop_total,pct_visible_minority,pct_age_65plus,pct_LIM_AT,pct_immigrant,pct_bachelor_plus,inc_LIM_AT,inc_totalpop,immigrant_immigrant,immigrant_totalpop,education_bachelor_plus,education_totalpop,ale16_08,inc_stratum,vm_stratum,age_stratum,limat_stratum,immigrant_stratum,edu_stratum,ale_stratum
59150307,2021S051259150307,0.2991,59,11.0,677.0,38.0,499.0,0.0561299852289512,0.7370753323485968,2,11.7,11.7,10.34,17.2781,17.2781,15.2713,0,1,LH,,,,,0,0,0,LH_low_exp,0,LL,114000.0,677.0,33.1,20.7,17.0,26.8,30.5,45.0,265.0,190.0,710.0,180.0,590.0,57.0,Middle income,Mid VM (20-50%),Older (>20% 65+),Low poverty (<20%),Low immigrant (<30%),Mid education (30-50%),Low ALE
59150308,2021S051259150308,0.1096,59,6.0,541.0,0.0,200.0,0.0,0.3696857670979667,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,,,,,0,0,0,LL_low_exp,0,LL,114000.0,541.0,33.6,17.6,15.9,29.1,36.2,35.0,220.0,160.0,550.0,170.0,470.0,71.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),Mid education (30-50%),Low ALE
59150309,2021S051259150309,0.1119,59,6.0,761.0,0.0,671.0,0.0,0.8817345597897503,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,1843.6268,0.2398,3.4,100.0,2,2,0,LL_low_exp,0,LL,94000.0,761.0,45.3,17.1,19.6,32.8,37.6,55.0,280.0,210.0,640.0,205.0,545.0,75.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
59150310,2021S051259150310,0.1094,59,7.0,748.0,0.0,748.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,208.5561,0.2948,3.5,100.0,1,1,0,LL_low_exp,0,LL,67000.0,748.0,40.9,8.0,24.4,26.0,38.2,95.0,390.0,195.0,750.0,250.0,655.0,64.0,Middle income,Mid VM (20-50%),Young (<10% 65+),Mid poverty (20-35%),Low immigrant (<30%),Mid education (30-50%),Low ALE
59150311,2021S051259150311,0.0809,59,4.0,537.0,378.0,537.0,0.7039106145251397,1.0,1,4.18,4.18,4.18,7.7909,7.7909,7.7909,0,1,LH,567.9702,0.4779,3.8,100.0,2,2,0,LH_low_exp,0,LL,92000.0,537.0,64.9,17.7,35.1,33.0,24.1,65.0,185.0,155.0,470.0,100.0,415.0,62.0,Middle income,High VM (>50%),Mid age (10-20% 65+),High poverty (>35%),Mid immigrant (30-50%),Low education (<30%),Low ALE
59150312,2021S051259150312,0.0871,59,5.0,555.0,555.0,555.0,1.0,1.0,1,4.18,4.18,4.18,7.5382,7.5382,7.5382,1,1,HH,268.4685,0.661,4.1,100.0,1,1,0,HH_low_exp,1,HL,96000.0,555.0,65.3,15.3,22.5,36.4,30.7,45.0,200.0,215.0,590.0,155.0,505.0,57.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
59150313,2021S051259150313,0.1728,59,3.0,1003.0,1003.0,1003.0,1.0,1.0,2,5.73,5.73,5.73,5.7088,5.7088,5.7088,1,1,HH,3181.4556,0.7298,4.3,100.0,2,2,1,HH_high_exp,1,HH,90000.0,1003.0,52.7,20.4,18.3,37.4,19.3,65.0,355.0,350.0,935.0,160.0,830.0,63.0,Middle income,High VM (>50%),Older (>20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Low education (<30%),Low ALE
59150328,2021S051259150328,0.2322,59,3.0,508.0,508.0,508.0,1.0,1.0,2,5.73,5.73,5.73,11.2715,11.2715,11.2715,1,1,HH,6281.4961,0.7298,4.3,100.0,2,2,1,HH_high_exp,1,HH,95000.0,508.0,75.0,15.7,23.5,59.8,34.6,40.0,170.0,290.0,485.0,140.0,405.0,47.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),High immigrant (>50%),Mid education (30-50%),Low ALE
59150329,2021S051259150329,0.3085,59,7.0,966.0,966.0,966.0,1.0,1.0,3,16.57,16.57,14.73,17.1486,17.1486,15.2467,1,1,HH,3793.9959,0.7318,4.4333,100.0,3,3,1,HH_high_exp,1,HH,86000.0,966.0,71.7,17.6,28.6,51.7,29.9,100.0,350.0,445.0,860.0,215.0,720.0,42.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),High immigrant (>50%),Low education (<30%),Low ALE
59150330,2021S051259150330,0.0782,59,4.0,544.0,387.0,544.0,0.7113970588235294,1.0,1,11.84,11.84,10.0,21.7596,21.7596,18.3824,0,1,LH,580.8824,0.6698,4.3,100.0,1,1,0,LH_low_exp,0,LL,88000.0,544.0,73.0,15.6,28.6,49.2,30.6,60.0,210.0,300.0,610.0,170.0,555.0,61.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Low ALE
