DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150307,,,,,0,0
59150308,,,,,0,0
59150309,1843.6268,0.2398,3.4,100.0,2,2
59150310,208.5561,0.2948,3.5,100.0,1,1
59150311,567.9702,0.4779,3.8,100.0,2,2
59150312,268.4685,0.661,4.1,100.0,1,1
59150313,3181.4556,0.7298,4.3,100.0,2,2
59150328,6281.4961,0.7298,4.3,100.0,2,2
59150329,3793.9959,0.7318,4.4333,100.0,3,3
59150330,580.8824,0.6698,4.3,100.0,1,1
59150331,368.2984,0.6698,4.3,100.0,1,1
59150332,,,,,0,0
59150333,,,,,0,0
59150334,388.5602,0.7237,4.3,100.0,1,1
59150335,229.8716,0.7237,4.3,100.0,1,1
59150336,322.9508,0.7237,4.3,100.0,1,1
59150337,595.843,0.7178,4.3,100.0,2,2
59150338,546.9729,0.7068,4.3,100.0,2,2
59150339,110.5442,0.6898,4.3,100.0,1,1
59150340,121.7228,0.6898,4.3,100.0,1,1
59150341,389.9782,0.6454,4.2,100.0,2,2
59150342,140.9978,0.6898,4.3,100.0,1,1
59150343,3255.3191,0.5361,4.2,100.0,2,2
59150344,195.8333,0.5775,4.3,100.0,1,1
59150345,18113.9028,0.6292,4.368,100.0,3,3
59150346,3740.8313,0.5361,4.2,100.0,2,2
59150347,3035.7143,0.5361,4.2,100.0,2,2
59150348,20442.344,0.6292,4.368,100.0,3,3
59150349,25523.8095,0.6551,4.402,100.0,2,2
59150350,20978.4736,0.6551,4.402,100.0,2,2
59150351,23355.1198,0.6551,4.402,100.0,2,2
59150352,,,,,0,0
59150353,,,,,0,0
59150354,160.0,0.6523,4.2,100.0,1,1
59150355,,,,,0,0
59150356,177.5899,0.6523,4.2,100.0,1,1
59150357,1085.963,0.6634,4.3,100.0,1,1
59150358,164.0625,0.6523,4.2,100.0,1,1
59150359,3014.5228,0.7036,4.2,100.0,3,3
59150360,1633.3879,0.6634,4.3,100.0,1,1
59150361,2762.2951,0.7096,4.3,100.0,2,2
59150362,3181.3602,0.7586,4.3,100.0,2,2
59150363,679.6117,0.7559,4.3,100.0,1,1
59150364,2916.8591,0.7586,4.3,100.0,2,2
59150365,3660.8696,0.7586,4.3,100.0,2,2
59150366,645.7607,0.6555,4.2,100.0,2,2
59150367,1096.2687,0.6907,4.2333,100.0,3,3
59150368,405.5118,0.555,4.1,100.0,1,1
59150369,749.0706,0.5988,4.1,100.0,2,2
59150371,1339.4161,0.646,4.2,100.0,3,3
59150373,398.5401,0.7144,4.2,100.0,2,2
59150375,,,,,0,0
59150376,165.5773,0.7864,4.3,100.0,1,1
59150377,1787.5,0.7258,4.5,100.0,1,1
59150378,,,,,0,0
59150379,1497.3822,0.7258,4.5,100.0,1,1
59150380,1413.5091,0.7258,4.5,100.0,1,1
59150381,1284.4311,0.7258,4.5,100.0,1,1
59150382,,,,,0,0
59150383,1618.8679,0.7258,4.5,100.0,1,1
59150384,,,,,0,0
59150385,639.9177,0.6655,4.2,100.0,1,1
59150386,506.5147,0.6655,4.2,100.0,1,1
59150387,575.9259,0.6655,4.2,100.0,1,1
59150388,381.1275,0.6655,4.2,100.0,1,1
59150389,428.9655,0.6655,4.2,100.0,1,1
59150390,513.2013,0.6655,4.2,100.0,1,1
59150391,591.2548,0.6655,4.2,100.0,1,1
59150392,209.8501,0.5621,4.1,100.0,1,1
59150393,2625.7862,0.6549,4.3,100.0,2,2
59150394,2719.8697,0.6549,4.3,100.0,2,2
59150395,2368.7943,0.6549,4.3,100.0,2,2
59150396,2460.0939,0.7477,4.5,100.0,1,1
59150397,3824.8175,0.7477,4.5,100.0,1,1
59150398,3351.8124,0.7477,4.5,100.0,1,1
