DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150307,677,677,2,11.7,11.7,10.34,17.2781,17.2781,15.2713
59150308,541,541,0,0.0,0.0,0.0,0.0,0.0,0.0
59150309,761,761,2,6.2,6.2,6.2,8.152,8.152,8.152
59150310,748,748,1,5.02,5.02,5.02,6.7082,6.7082,6.7082
59150311,537,537,2,9.2,9.2,9.2,17.1349,17.1349,17.1349
59150312,555,555,1,4.18,4.18,4.18,7.5382,7.5382,7.5382
59150313,1003,1003,2,5.73,5.73,5.73,5.7088,5.7088,5.7088
59150328,508,508,2,5.73,5.73,5.73,11.2715,11.2715,11.2715
59150329,966,966,3,16.57,16.57,14.73,17.1486,17.1486,15.2467
59150330,544,544,1,11.84,11.84,10.0,21.7596,21.7596,18.3824
59150331,858,858,1,11.84,11.84,10.0,13.7963,13.7963,11.655
59150332,660,660,0,0.0,0.0,0.0,0.0,0.0,0.0
59150333,621,621,0,0.0,0.0,0.0,0.0,0.0,0.0
59150334,507,507,1,3.05,3.05,3.05,6.0202,6.0202,6.0202
59150335,857,857,1,3.05,3.05,3.05,3.5615,3.5615,3.5615
59150336,610,610,1,3.05,3.05,3.05,5.0037,5.0037,5.0037
59150337,433,433,2,4.02,4.02,4.02,9.2892,9.2892,9.2892
59150338,479,479,2,4.99,4.99,4.99,10.4075,10.4075,10.4075
59150339,588,588,1,1.93,1.93,1.93,3.2873,3.2873,3.2873
59150340,534,534,1,1.93,1.93,1.93,3.6197,3.6197,3.6197
59150341,459,459,2,2.17,2.17,2.17,4.7362,4.7362,4.7362
59150342,461,461,1,1.93,1.93,1.93,4.1929,4.1929,4.1929
59150343,470,470,2,1.78,1.78,1.78,3.796,3.796,3.796
59150344,480,480,1,0.89,0.89,0.89,1.8554,1.8554,1.8554
59150345,597,597,3,1.9,1.9,1.9,3.178,3.178,3.178
59150346,409,409,2,1.78,1.78,1.78,4.3622,4.3622,4.3622
59150347,504,504,3,2.01,2.01,2.01,3.9852,3.9852,3.9852
59150348,529,529,4,2.12,2.12,2.12,4.0107,4.0107,4.0107
59150349,420,420,3,1.23,1.23,1.23,2.9311,2.9311,2.9311
59150350,511,511,3,1.23,1.23,1.23,2.4091,2.4091,2.4091
59150351,459,459,3,1.23,1.23,1.23,2.6821,2.6821,2.6821
59150352,748,748,1,0.22,0.22,0.22,0.3,0.3,0.3
59150353,495,495,1,0.22,0.22,0.22,0.4534,0.4534,0.4534
59150354,525,525,2,1.85,1.85,1.85,3.5306,3.5306,3.5306
59150355,531,531,0,0.0,0.0,0.0,0.0,0.0,0.0
59150356,473,473,1,1.63,1.63,1.63,3.4443,3.4443,3.4443
59150357,919,919,1,0.45,0.45,0.45,0.4874,0.4874,0.4874
59150358,512,512,1,1.63,1.63,1.63,3.182,3.182,3.182
59150359,482,482,3,2.58,2.58,2.58,5.3464,5.3464,5.3464
59150360,611,611,1,0.45,0.45,0.45,0.7331,0.7331,0.7331
59150361,488,488,2,4.75,4.75,4.75,9.7265,9.7265,9.7265
59150362,397,397,2,31.69,24.3,14.3,79.8278,61.2056,36.0167
59150363,515,515,1,4.3,4.3,4.3,8.3469,8.3469,8.3469
59150364,433,433,2,31.69,24.3,14.3,73.1909,56.1169,33.0223
59150365,345,345,2,31.69,24.3,14.3,91.8599,70.4308,41.4453
59150366,861,861,2,4.44,4.44,4.44,5.1563,5.1563,5.1563
59150367,1340,1340,3,31.83,24.44,14.44,23.7557,18.2385,10.7758
59150368,508,508,1,0.14,0.14,0.14,0.2775,0.2775,0.2775
59150369,538,538,2,2.62,2.62,2.62,4.8643,4.8643,4.8643
59150371,548,548,3,5.41,5.41,5.41,9.8749,9.8749,9.8749
