DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150307,11.0,677.0,38.0,499.0,0.056129985228951254,0.7370753323485968
59150308,6.0,541.0,0.0,200.0,0.0,0.36968576709796674
59150309,6.0,761.0,0.0,671.0,0.0,0.8817345597897503
59150310,7.0,748.0,0.0,748.0,0.0,1.0
59150311,4.0,537.0,378.0,537.0,0.7039106145251397,1.0
59150312,5.0,555.0,555.0,555.0,1.0,1.0
59150313,3.0,1003.0,1003.0,1003.0,1.0,1.0
59150328,3.0,508.0,508.0,508.0,1.0,1.0
59150329,7.0,966.0,966.0,966.0,1.0,1.0
59150330,4.0,544.0,387.0,544.0,0.7113970588235294,1.0
59150331,8.0,858.0,474.0,737.0,0.5524475524475524,0.8589743589743589
59150332,5.0,660.0,0.0,660.0,0.0,1.0
59150333,5.0,621.0,0.0,621.0,0.0,1.0
59150334,6.0,507.0,123.0,507.0,0.24260355029585798,1.0
59150335,5.0,857.0,857.0,857.0,1.0,1.0
59150336,6.0,610.0,610.0,610.0,1.0,1.0
59150337,6.0,433.0,392.0,433.0,0.9053117782909931,1.0
59150338,5.0,479.0,301.0,479.0,0.6283924843423799,1.0
59150339,8.0,588.0,197.0,588.0,0.33503401360544216,1.0
59150340,5.0,534.0,152.0,534.0,0.2846441947565543,1.0
59150341,5.0,459.0,459.0,459.0,1.0,1.0
59150342,6.0,461.0,350.0,461.0,0.7592190889370932,1.0
59150343,5.0,470.0,83.0,470.0,0.17659574468085107,1.0
59150344,3.0,480.0,443.0,480.0,0.9229166666666667,1.0
59150345,6.0,597.0,597.0,597.0,1.0,1.0
59150346,5.0,409.0,409.0,409.0,1.0,1.0
59150347,5.0,504.0,504.0,504.0,1.0,1.0
59150348,3.0,529.0,529.0,529.0,1.0,1.0
59150349,4.0,420.0,420.0,420.0,1.0,1.0
59150350,8.0,511.0,337.0,511.0,0.6594911937377691,1.0
59150351,2.0,459.0,459.0,459.0,1.0,1.0
59150352,4.0,748.0,748.0,748.0,1.0,1.0
59150353,3.0,495.0,495.0,495.0,1.0,1.0
59150354,2.0,525.0,525.0,525.0,1.0,1.0
59150355,1.0,531.0,0.0,531.0,0.0,1.0
59150356,2.0,473.0,473.0,473.0,1.0,1.0
59150357,3.0,919.0,404.0,919.0,0.4396082698585419,1.0
