DBUID,DAUID,db_pop,nearest_node,dist_nearest_entrance,reachable_400,reachable_800,snap_flag
59150307001,59150307,0,4110499236,5.9,1,1,0
59150307005,59150307,42,8527184205,685.0,0,1,0
59150307007,59150307,30,8527206728,431.6,0,1,0
59150307008,59150307,63,4901076019,540.0,0,1,0
59150307011,59150307,82,8527206769,,0,0,0
59150307012,59150307,96,558658638,,0,0,0
59150307013,59150307,65,336301439,768.2,0,1,0
59150307014,59150307,76,8527184178,695.7,0,1,0
59150307015,59150307,0,8527206749,779.9,0,1,0
59150307020,59150307,38,4110499236,5.9,1,1,0
59150307022,59150307,185,8527184194,698.4,0,1,0
59150308001,59150308,109,558658627,,0,0,0
59150308002,59150308,106,8527206829,760.3,0,1,0
59150308003,59150308,94,8462564789,569.8,0,1,0
59150308004,59150308,82,3431090831,,0,0,0
59150308005,59150308,72,558658600,,0,0,0
59150308006,59150308,78,558658658,,0,0,0
59150309001,59150309,90,8527206820,675.6,0,1,0
59150309002,59150309,117,13332832856,426.8,0,1,0
59150309003,59150309,66,13332832855,390.9,1,1,0
59150309004,59150309,113,8527206871,369.7,1,1,0
59150309005,59150309,190,3913974035,201.8,1,1,0
59150309006,59150309,185,3892737517,218.7,1,1,0
59150310001,59150310,0,8462564785,501.0,0,1,0
59150310003,59150310,121,9335425099,344.6,1,1,0
59150310004,59150310,63,8525767048,487.6,0,1,0
59150310005,59150310,237,8525767069,589.6,0,1,0
59150310006,59150310,91,8527206853,691.2,0,1,0
59150310007,59150310,236,3492503939,408.7,0,1,0
59150310008,59150310,0,3875535008,437.8,0,1,0
59150311001,59150311,159,554862073,366.9,1,1,0
59150311002,59150311,142,8525767107,251.0,1,1,0
59150311003,59150311,103,554862013,379.6,1,1,0
59150311004,59150311,133,554862000,289.8,1,1,0
59150312004,59150312,134,8565107940,227.2,1,1,0
59150312005,59150312,112,8525767009,143.7,1,1,0
59150312009,59150312,90,8525767028,367.9,1,1,0
59150312010,59150312,112,8525767006,261.0,1,1,0
59150312011,59150312,107,8565102793,169.8,1,1,0
59150313006,59150313,97,8565102816,329.5,1,1,0
59150313007,59150313,0,8579716599,82.8,1,1,0
59150313010,59150313,906,431035938,0.0,1,1,0
59150328001,59150328,105,566842819,91.4,1,1,0
59150328007,59150328,124,566842834,91.4,1,1,0
59150328012,59150328,279,11538738766,196.9,1,1,0
59150329003,59150329,148,567132188,103.5,1,1,0
59150329005,59150329,110,567132171,110.5,1,1,0
59150329014,59150329,149,567132174,105.0,1,1,0
59150329015,59150329,121,8564853957,6.0,1,1,0
59150329016,59150329,0,8564853973,228.2,1,1,0
59150329017,59150329,306,566842799,281.6,1,1,0
59150329018,59150329,132,3639998283,140.3,1,1,0
59150330003,59150330,140,8564855532,336.8,1,1,0
59150330004,59150330,134,8564855542,245.6,1,1,0
59150330005,59150330,113,3640001699,144.3,1,1,0
59150330006,59150330,157,567132248,432.1,0,1,0
59150331001,59150331,131,8564534783,543.4,0,1,0
59150331002,59150331,121,567132104,,0,0,0
59150331003,59150331,132,8564533100,420.2,0,1,0
59150331004,59150331,115,13394221745,294.9,1,1,0
59150331005,59150331,105,11144908771,370.7,1,1,0
59150331006,59150331,0,13394221706,306.6,1,1,0
59150331007,59150331,109,8564627299,375.0,1,1,0
59150331008,59150331,145,567132193,88.9,1,1,0
59150332001,59150332,133,567132202,712.7,0,1,0
59150332002,59150332,156,567132206,753.8,0,1,0
59150332003,59150332,123,567132221,661.0,0,1,0
59150332004,59150332,106,567132220,570.1,0,1,0
59150332005,59150332,142,567132242,477.5,0,1,0
59150333001,59150333,119,12756391839,722.7,0,1,0
59150333002,59150333,141,567132054,578.9,0,1,0
59150333003,59150333,121,567132037,575.0,0,1,0
59150333004,59150333,118,11378423114,462.0,0,1,0
59150333005,59150333,122,10926752889,404.2,0,1,0
59150334001,59150334,76,8562496995,593.1,0,1,0
59150334002,59150334,83,8562497004,618.0,0,1,0
59150334003,59150334,55,8562496998,564.0,0,1,0
59150334004,59150334,54,8562506121,470.9,0,1,0
59150334005,59150334,116,567158431,495.1,0,1,0
59150334006,59150334,123,8562506142,344.5,1,1,0
59150335001,59150335,128,8562506184,175.4,1,1,0
59150335003,59150335,269,567158380,327.5,1,1,0
59150335004,59150335,163,567158385,325.9,1,1,0
59150335005,59150335,153,567158410,392.3,1,1,0
59150335006,59150335,144,8562506189,176.1,1,1,0
59150336001,59150336,139,8562506206,162.9,1,1,0
59150336002,59150336,129,6956242235,0.0,1,1,0
59150336003,59150336,107,8562506165,241.6,1,1,0
59150336005,59150336,125,567157926,151.1,1,1,0
59150336007,59150336,0,5157422672,54.1,1,1,0
59150336008,59150336,110,567157921,150.6,1,1,0
59150337001,59150337,41,567157961,444.7,0,1,0
