park_id,playground,sports_fields,courts,trails,dog_offleash,water_play,beach_waterfront,picnic,washroom,community_garden,seating_shelter,n_reviews,park_name,area_ha,amenity_type_count
Burnaby_0,1,1,1,1,0,1,1,1,1,0,1,2692,CENTRAL PARK,86.43124667612035,9
Burnaby_10,1,0,0,0,0,0,0,0,0,0,0,24,JIM LORIMER PARK,1.2475617216688053,1
Burnaby_20,1,0,0,1,1,0,1,1,1,0,1,512,BURNABY FRASER FORESHORE PARK,15.449836773862751,7
Burnaby_218,1,1,1,0,0,0,0,0,1,0,1,157,BURNABY HEIGHTS PARK,4.051521065218757,5
Burnaby_219,1,0,0,0,0,1,0,1,0,0,1,35,MCGILL PARK,1.4353769088722992,4
Burnaby_22,0,0,0,0,0,0,0,0,0,0,0,12,KAYMAR CREEK RAVINE PARK,11.859393095440709,0
Burnaby_221,0,0,0,0,0,0,0,0,0,0,0,56,SECOND NARROWS PARK,11.358624305016896,0
Burnaby_23,1,0,0,0,0,1,0,0,0,0,0,22,SUNCREST SCHOOL PARK,2.7744574502023553,2
Burnaby_3,1,0,0,1,0,0,0,0,1,0,0,62,GEORGE MCLEAN PARK,1.320234601313407,3
Burnaby_5,0,0,0,0,0,0,0,0,0,0,0,1,WESBURN RAVINE PARK,0.3280855759818343,0
Burnaby_8,1,0,0,0,0,0,0,1,0,0,1,58,AVONDALE PARK,1.5028542594956795,3
Burnaby_82,1,1,1,0,0,1,0,0,1,0,1,218,WILLINGDON HEIGHTS PARK,5.784743445779543,6
Burnaby_84,1,0,0,0,0,0,0,1,0,0,1,13,WEST-SELLS PARK,0.8960379531620521,3
Burnaby_9,1,0,1,0,0,0,0,0,0,0,0,40,BROADVIEW PARK,3.7127023505720897,2
MetroVancouver_128,0,0,0,1,0,0,1,1,1,0,1,849,Pacific Spirit Regional Park,511.01317130433546,5
Vancouver_1,0,0,0,0,0,0,0,0,0,0,0,5,Foster Park,0.2961961934862165,0
Vancouver_100,0,0,0,0,0,0,0,0,0,0,0,16,McCleery Park,0.2512430424817359,0
Vancouver_101,0,0,0,0,0,0,0,0,1,0,0,78,Musqueam Park,23.765774741392363,1
Vancouver_102,0,0,0,0,0,0,0,0,0,0,0,6,Malkin Park,2.4284729881443776,0
Vancouver_103,1,0,0,0,0,0,0,0,0,0,0,15,Kerrisdale Centennial Park,1.5300032464374087,1
Vancouver_104,1,0,0,0,0,0,0,0,0,1,1,33,Cambie Park,0.9349552736341832,3
Vancouver_106,1,1,0,0,0,0,0,1,1,0,1,155,Tisdall Park,5.03617000240216,5
Vancouver_107,1,1,0,0,0,0,0,0,1,0,1,78,Montgomery Park,4.029881754480023,4
Vancouver_108,1,1,0,0,0,0,0,0,1,0,0,54,Columbia Park,2.7891455857579426,3
Vancouver_109,1,1,0,0,1,0,0,0,0,0,1,96,Oak Meadows Park,4.739711729851576,4
Vancouver_11,1,0,0,0,0,0,0,0,1,0,0,20,Kinross Corridor – South,0.3648129962019925,2
Vancouver_110,0,0,0,1,0,0,1,0,1,0,1,6696,Vandusen Botanical Garden,22.36141285031952,4
Vancouver_111,1,0,1,1,1,0,1,1,1,0,1,6735,Queen Elizabeth Park,53.28454134129558,8
Vancouver_112,0,0,0,0,0,0,0,0,0,0,1,38,Devonshire Park,1.5286016804984024,1
Vancouver_113,0,1,0,0,0,0,0,0,1,0,1,60,Elm Park,1.495538521680449,3
Vancouver_114,0,0,0,0,0,0,0,0,0,0,0,31,Kerrisdale Park,2.9972151268110285,0
Vancouver_115,0,0,0,0,0,0,0,0,0,0,0,12,Ravine Park,0.9201103401666912,0
Vancouver_116,1,1,1,0,0,0,0,0,1,0,0,100,Memorial West Park,7.511579628139858,4
Vancouver_117,1,1,0,1,1,0,0,0,1,0,1,191,Quilchena Park,7.692325821772762,6
Vancouver_118,1,1,0,0,0,0,0,0,0,0,0,55,Prince Of Wales Park,2.8943266649729624,2
Vancouver_119,0,0,0,0,0,0,0,0,0,0,0,1,Park Site On Trafalgar Street,0.1364974351413605,0
Vancouver_12,1,0,0,1,0,0,1,1,1,0,0,157,Gladstone-Riverside Park,1.1349646421405928,5
Vancouver_120,1,1,0,0,1,1,0,0,1,0,1,117,Balaclava Park,4.898701529605987,6
Vancouver_121,1,1,0,0,0,1,0,0,1,0,1,116,Chaldecott Park,3.4570534339846892,5
Vancouver_122,0,0,0,0,0,0,0,0,0,0,0,13,Arbutus Village Park,1.4122582984871996,0
Vancouver_123,1,1,0,0,0,0,0,0,1,0,0,107,Trafalgar Park,4.864674354124592,3
Vancouver_124,0,0,0,0,0,0,0,0,0,0,0,21,Valdez Park,0.7689368807578044,0
Vancouver_125,0,0,0,0,0,0,0,0,0,0,0,16,Angus Park,0.899249048606294,0
Vancouver_126,1,1,0,0,0,0,0,0,1,0,1,108,Carnarvon Park,4.243831294285206,4
Vancouver_127,0,0,0,0,0,0,0,0,0,0,0,3,Quadra West Park,0.1421102535413312,0
Vancouver_129,1,0,0,0,0,0,0,0,1,0,1,130,Granville Park,1.967067406206696,3
Vancouver_13,1,0,1,1,0,0,1,1,1,1,1,317,Riverfront Park,4.2084700532613875,8
Vancouver_130,1,0,1,0,0,0,0,0,0,0,1,85,Almond Park,1.614077026317408,3
